,4
0,Gene Symbol
1,P4ha1
2,Slc25a34
3,Vamp3
4,Pkm
5,Cpeb1
6,Gys1
7,Spata7
8,Snx17
9,Aldoa
10,Smarcd1
11,Ror1
12,Slc7a1
13,Slc41a1
14,Brpf1
15,Golph3l
16,Arfip2
17,Prdm15
18,Hnrnpu
19,Lamc1
20,Grhl2
21,Rfpl4
22,Car10
23,Npepps
24,Micu3
25,Ces2g
26,Pxmp4
27,9330182O14Rik
28,Nol4l
29,Flnb
30,Slc2a3
31,Slc4a1
32,Fundc2
33,Alox12
34,Ccng1
35,Gnpda2
36,Slc52a2
37,Cyp4f37
38,Grem2
39,Ddx60
40,Zfp809
41,Rabl6
42,Maf1
43,Phf19
44,Spcs2
45,Ppip5k1
46,Ocln
47,Fli1
48,Rbm47
49,Mllt1
50,Adgrb2
51,Dglucy
52,Samd5
53,Fuca2
54,Dicer1
55,Pex26
56,Atp1b1
57,Shprh
58,Dao
59,Nmur2
60,Tbr1
61,Cux1
62,Tnrc6a
63,Ankrd13c
64,H2-T24
65,Zfp668
66,Gpr141b
67,D230025D16Rik
68,Igsf5
69,Adss
70,Wdr86
71,Plgrkt
72,Bcat2
73,Ikzf4
74,Ankrd55
75,Akap10
76,Slc25a51
77,Lnpep
78,Ano6
79,Mospd1
80,Tex9
81,Asb1
82,Sox11
83,Dock5
84,Mars2
85,Smim15
86,Cdsn
87,Lig4
88,Cndp1
89,H13
90,Galc
91,Nlrc5
92,Zfp354c
93,Dennd2c
94,Khdrbs1
95,Rad51d
96,Tbc1d10b
97,Gsdma2
98,Lama2
99,Dlg2
100,Bpifb9a
101,Nfat5
102,Camk2d
103,Bach2
104,Bpifb9b
105,Dagla
106,Dhfr
107,Mgat4a
108,Arl13b
109,Trim16
110,Oaz2
111,Cd3e
112,Spry2
113,Snai2
114,Hhat
115,Spef1
116,Pakap
117,Ddr2
118,Akap2
119,Avl9
120,Me1
121,Kcnq5
122,Mrps25
123,Npas3
124,Usp49
125,Astn1
126,Ogdh
127,Gtf3c2
128,Ppard
129,Tmem239
130,Sfxn1
131,Grxcr2
132,Nlrp12
133,Etv5
134,Trp53inp2
135,Papola
136,Dph6
137,Zkscan8
138,Epha4
139,Ralgapa1
140,Serp1
141,Ctdspl
142,Slco5a1
143,Dlat
144,Nkain2
145,Slc1a5
146,Lonrf2
147,Arl2
148,Gpm6b
149,Slc18b1
150,Tbc1d16
151,Slc12a6
152,Ctcf
153,Rpe
154,Aacs
155,Tmem150c
156,Lynx1
157,Slc4a8
158,Mrm1
159,Gimap8
160,Rpp14
161,Tbc1d22b
162,Zfp704
163,Cnga3
164,Syna
165,Klf6
166,Fam117b
167,Clic5
168,Scn3b
169,Lamp5
170,Arpp19
171,Stn1
172,Taf1
173,Strada
174,Rab6b
175,Sumo3
176,Ykt6
177,Cdh12
178,Kalrn
179,Asb4
180,Syt6
181,Zfp39
182,Fnbp1
183,Kncn
184,Usf3
185,Gls
186,Vps50
187,Zfp426
188,Cd320
189,Cdh16
190,Cdk16
191,Alpl
192,Map3k12
193,Zfp46
194,Mmgt1
195,Med28
196,Ccdc97
197,Pyurf
198,Zbtb41
199,Tfdp2
200,Sema3b
201,Usp14
202,Zfp410
203,Vav3
204,Dclk1
205,2310011J03Rik
206,Crispld2
207,Zfp764
208,Gpr107
209,Ptprb
210,Xxylt1
211,Prnd
212,Prn
213,G3bp2
214,Gdpd2
215,Sav1
216,Clec4e
217,Cox16
218,Gmfb
219,Eef1d
220,Akt3
221,Zbtb4
222,Sesn2
223,Ccdc85b
224,Foxk2
225,Slx4
226,Zmiz1
227,Timm17a
228,Akain1
229,Zfp827
230,Olig2
231,Rassf2
232,Dio2
233,Arhgap15
234,Cs
235,Hist1h2be
236,Il1rn
237,Slc9a6
238,Nacc2
239,Foxp2
240,Gorasp1
241,Dbpht2
242,Tpm4
243,Shisa7
244,Ppp1r9a
245,Tmem50b
246,Prex2
247,Dgke
248,Syt11
249,Sv2b
250,Sparc
251,Fbxw2
252,Necap2
253,Orc2
254,Pmepa1
255,Sel1l3
256,Wfdc1
257,9130019O22Rik
258,Kif16b
259,Acap2
260,Tubb4a
261,Calb2
262,Zfp251
263,Trank1
264,Ptbp3
265,Nap1l5
266,Ctdnep1
267,Git1
268,Pygb
269,Traf4
270,Pgpep1
271,Plp2
272,Prickle3
273,Rgs9
274,Trim66
275,Cd300a
276,Dr1
277,Fut1
278,Cxcr3
279,BB287469
280,Cdh5
281,Nufip2
282,Sorcs2
283,Prdm12
284,Arhgap1
285,Aldh18a1
286,Spns2
287,Cep162
288,Fmnl1
289,Gm20498
290,Car12
291,Elovl7
292,Mtrr
293,Styx
294,Tex24
295,Lars2
296,Nhsl2
297,Galnt1
298,Gdf15
299,Traf3
300,Adgrl1
301,Satb2
302,Zc3h10
303,Zfp213
304,Cdk5rap2
305,Scara3
306,Tmem167
307,Cdh6
308,Lelp1
309,Sftpa1
310,Gpr3
311,Ncan
312,Ms4a15
313,Gm14092
314,Fut8
315,Acvr1
316,Exoc6b
317,Tmem125
318,Slc11a2
319,Tbc1d10a
320,Abr
321,Lrrc75a
322,Syne3
323,Ihh
